"Timestamp","Counter","Value","PSComputerName","RunspaceId","PSShowComputerName"
"9/22/2026 10:33:38 PM","\\desktop-f6ep8gc\memory\available mbytes","50740","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:38 PM","\\desktop-f6ep8gc\memory\pages/sec","0.9659585578663754","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:39 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","46.021076654290894","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:39 PM","\\desktop-f6ep8gc\memory\available mbytes","50738","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:39 PM","\\desktop-f6ep8gc\memory\pages/sec","1.9879660463351148","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:40 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","41.38975265291538","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:40 PM","\\desktop-f6ep8gc\memory\available mbytes","50752","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:40 PM","\\desktop-f6ep8gc\memory\pages/sec","0.9937559333440196","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:41 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","47.57240483037554","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:41 PM","\\desktop-f6ep8gc\memory\available mbytes","50758","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:41 PM","\\desktop-f6ep8gc\memory\pages/sec","32.81073782102697","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:42 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","49.90574265473181","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:42 PM","\\desktop-f6ep8gc\memory\available mbytes","50780","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:42 PM","\\desktop-f6ep8gc\memory\pages/sec","0","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
