"Case","Vehicle","RTT","StartupMax","SteadyP95","SteadyP99","SteadyMax","Above1cmHz","HardSnaps","StartupSnaps","SteadySnaps","HeldTicks","AllHeldTicks","BufferMean","TimelineMean","TimelineP99","SnapshotAgeMax","PendingMax","FinalPending","Snapshots","Ack","Immediate","FrameP99","FrameMax","StepMean","StepBytes"
"final-eight-2","3","74.896875","0.36652424931526184","0.002562824636697769","0.053024306893348694","0.3095096945762634","0.4999999999999867","0","0","0","0","26","49.35426119109278","74.46745910610873","142.0528999755045","166.60029999911785","29","12","287","949","653","20.547","52.319","0.5109031250000006","40794.325"
"final-eight-2","2","68.67291666666667","0.14974157512187958","0","0","0.0016884885262697935","0","0","0","0","0","22","46.537311663470796","68.80305947539014","133.4208999760449","166.5983999846503","26","10","302","951","641","21.67","35.52","0.5095083333333339","42530.666666666664"
"final-eight-2","5","76.065625","0.16775721311569214","0.004387974739074707","0.021514536812901497","0.061972539871931076","0.42857142857141717","0","0","0","0","23","46.69798455527805","69.84935632569027","133.39139998424798","183.17199999000877","33","9","299","952","644","21.197","37.308","0.6517364583333339","47377.21666666667"
"final-eight-2","4","74.846875","0.161370649933815","0","0.006121807266026735","0.18751776218414307","0.14285714285713905","0","0","0","0","24","46.84400338126467","70.01175077555561","133.45769996521994","167.079700040631","34","10","300","951","642","19.749","36.421","0.7014197916666671","42836.95"
"final-eight-2","7","76.3375","0.27642956376075745","0","0.15782584249973297","0.2118525207042694","0.21428571428570858","0","0","0","1","22","47.9652031172309","70.55088884617332","131.3993342825403","166.60940001020208","33","12","301","949","645","19.904","36.242","0.4077052083333342","38778.975"
"final-eight-2","6","76.70208333333333","0.16775721311569214","0","0","0.21754296123981476","0.07142857142856952","0","0","0","0","25","50.301776770348376","73.13100124943726","133.3828413353511","175.30189995886758","33","13","301","948","640","20.184","36.281","0.5657083333333339","41944.725"
"final-eight-2","8","76.82395833333334","0.1593448370695114","0","0","0.0008870873134583235","0","0","0","0","0","20","46.732964309784236","68.67271826836128","128.92808336812382","166.6131000383757","33","11","304","950","643","20.528","38.125","0.47433541666666723","38382.10833333333"
"final-eight-3","2","67.82395833333334","0.14402712881565094","0","0","0.0928179919719696","0.07142857142856952","0","0","0","0","15","49.08768287654553","70.15729673028189","125.54400418975611","183.26389999128878","33","10","313","951","639","21.859","38.286","0.6817958333333328","41262.40833333333"
"final-eight-3","3","72.61666666666666","0.1440272480249405","0.004966786131262779","0.07371582090854645","0.5172939896583557","0.6428571428571257","0","0","0","0","15","50.39895894663593","72.08965499045446","131.675638792566","183.27509996015579","33","12","305","949","647","20.457","79.245","0.5207312500000006","41362.36666666667"
"final-eight-3","4","75.54583333333333","0.19502633810043335","0","0.006089356727898121","0.07053615897893906","0.07142857142856952","0","0","0","0","14","47.345181175235005","68.77095805120825","101.99940834166685","199.93410003371537","32","8","306","953","647","20.634","38.598","0.5112114583333339","38938.01666666667"
"final-eight-3","5","75.7875","0.20303362607955933","0.0018172619165852666","0.01265731081366539","0.06519763916730881","0.2857142857142781","0","0","0","0","14","49.42675835408666","72.95237877114495","117.08238750410675","183.25479998020455","32","8","304","953","650","20.255","36.869","0.6043947916666667","42880.441666666666"
"final-eight-3","6","77.828125","0.12087573111057281","0","0.00188555964268744","0.027209380641579628","0.14285714285713905","0","0","0","0","14","48.76861430182063","71.16470076008044","117.27340001380071","216.60030004568398","32","13","303","948","650","20.121","38.335","0.5273895833333333","38056.825"
"final-eight-3","7","76.21875","0.18450118601322174","0","0","0.08795150369405746","0.14285714285713905","0","0","0","0","14","47.95871233279661","70.51148587531692","115.62157858421169","199.93250002153218","32","8","297","953","655","20.244","36.25","0.44508229166666663","37162.541666666664"
"final-eight-3","8","75.72708333333334","0.21170316636562347","0","0.00505053112283349","0.21120193600654602","0.14285714285713905","0","0","0","1","11","50.79490794320824","72.94359200517256","129.92840829247365","166.58499999903142","28","13","302","948","652","19.891","36.892","0.5675520833333341","38788.075"
"final-loss","2","0","0.2506580054759979","0","0","0","0","0","0","0","0","0","42.69974848079987","61.50905712591639","94.8436927717001","83.59960000962019","16","3","319","958","652","20.433","36.609","0.5448937500000003","31185.391666666666"
"final-overload-64","2","109.12291666666667","4.929990291595459","0","0","0","0","2","2","0","0","67","45.375103179257586","62.501186928962966","103.30390001181513","66.89089996507391","81","11","327","950","600","19.634","25.857","0.3147770833333329","35647.808333333334"
"final-rendered-1","2","60.0375","1.4209195375442505","0.005894546862691641","0.01707460917532444","0.11982610821723938","0.2857142857142781","0","0","0","0","0","46.78351084437576","64.49762803238244","87.6350401769616","51.19719996582717","14","9","348","952","645","21.347","751.334","0.7343510416666662","39462.075"
"final-rendered-2","2","60.11875","0.16488611698150635","0","0","0","0","0","0","0","0","0","30.872185453574794","48.39942274508082","56.71236554732483","56.169799994677305","13","10","337","951","644","18.252","144.753","0.5975093749999995","34656.55"
"final-zero","2","0","0.2237526774406433","0","0","0","0","0","0","0","0","0","41.09978778252394","58.56267924137783","95.10301547492001","55.8788999915123","17","4","325","957","645","20.212","34.085","0.518311458333333","34692.60833333333"
"rendered-unobserved-3","2","60.053125","0.15874361991882324","0","0","0","0","0","0","0","0","0","32.85857788358981","50.271245693866355","64.3302974873611","56.04150000726804","14","11","336","950","644","18.645","144.56","0.5857083333333334","31241.908333333333"
"rendered-unobserved-4","2","60.03958333333333","0.16223585605621338","0","0","0","0","0","0","0","0","0","36.316709255104094","53.83656540181059","68.33111551451552","72.71640002727509","14","10","336","951","643","18.605","141.286","0.5682197916666668","34900"
