64,<185.64117, 1.4009203, 0.37466264>,<-11.464452, -1.3080001, -0.12759346>,<0.005323202, 0.00022982199, -0.9736993>,False,<0, 0, 0, 0>
65,<185.4501, 1.3791202, 0.3725361>,<-11.464452, -1.4715002, -0.12759346>,<0.005332307, 0.00022847747, -0.9768256>,False,<0, 0, 0, 0>
66,<185.25903, 1.3545952, 0.37040955>,<-11.464452, -1.6350002, -0.12759346>,<0.0053370036, 0.00022714605, -0.9791382>,False,<0, 0, 0, 0>
67,<185.06796, 1.3273451, 0.368283>,<-11.464452, -1.7985003, -0.12759346>,<0.0053373133, 0.00022582771, -0.98063916>,False,<0, 0, 0, 0>
68,<184.87689, 1.2973701, 0.36615646>,<-11.464452, -1.9620004, -0.12759346>,<0.005333261, 0.00022452198, -0.9813314>,False,<0, 0, 0, 0>
69,<184.68582, 1.26467, 0.3640299>,<-11.464452, -2.1255004, -0.12759346>,<0.005324877, 0.00022322868, -0.98121876>,False,<0, 0, 0, 0>
70,<184.49475, 1.229245, 0.36190337>,<-11.464452, -2.2890005, -0.12759346>,<0.005312195, 0.00022194759, -0.9803058>,False,<0, 0, 0, 0>
71,<184.30368, 1.191095, 0.35977682>,<-11.464452, -2.4525006, -0.12759346>,<0.0052952548, 0.00022067844, -0.978598>,False,<0, 0, 0, 0>
72,<184.11261, 1.15022, 0.35765028>,<-11.464452, -2.6160007, -0.12759346>,<0.005274097, 0.00021942078, -0.97610164>,False,<0, 0, 0, 0>
73,<183.92154, 1.1066201, 0.35552374>,<-11.464452, -2.7795007, -0.12759346>,<0.005248772, 0.00021817465, -0.9728238>,False,<0, 0, 0, 0>
74,<183.73047, 1.0602951, 0.3533972>,<-11.441567, -2.7059407, -0.12516056>,<0.0058716573, 0.00016064817, -1.0255003>,True,<0.007873774, 0.0069928765, 0, 0>
75,<183.53978, 1.0151961, 0.35131118>,<-11.418725, -2.6236963, -0.12314981>,<0.0064939293, 0.00012051467, -1.0688113>,True,<0.031979084, 0.031223059, 0, 0>
76,<183.34947, 0.9714678, 0.3492587>,<-11.395925, -2.535505, -0.121481866>,<0.0070804455, 9.283553E-05, -1.1019783>,True,<0.053456724, 0.052819192, 0, 0>
77,<183.15955, 0.92920935, 0.34723398>,<-11.373167, -2.443381, -0.12009257>,<0.007607654, 7.392529E-05, -1.124804>,True,<0.07241845, 0.07189298, 0, 0>
78,<182.96999, 0.8884863, 0.34523243>,<-11.350452, -1.8582821, -0.118929766>,<0.005189757, 6.106434E-05, -0.85467565>,True,<0.08902395, 0.088602185, 0.06514996, 0.06472814>
79,<182.7808, 0.857515, 0.34325027>,<-11.327782, -1.2926662, -0.11795121>,<0.0029470907, 5.18308E-05, -0.6003789>,True,<0.10144818, 0.10112089, 0.11462706, 0.11429989>
80,<182.59201, 0.8359705, 0.34128442>,<-11.305155, -0.751714, -0.11712213>,<0.00083855854, 4.473794E-05, -0.3589486>,True,<0.109850526, 0.109609306, 0.14905977, 0.1488185>
